# Walked route for BizzyZ: 131 raw tiles
3211,3384
3211,3386
3211,3388
3211,3390
3211,3392
3211,3394
3211,3396
3211,3398
3211,3400
3211,3402
3211,3404
3211,3406
3211,3408
3211,3410
3211,3412
3211,3414
3211,3416
3211,3418
3211,3420
3211,3422
3211,3423
3213,3423
3215,3423
3216,3424
3218,3426
3220,3427
3222,3427
3224,3429
3222,3429
3220,3430
3220,3432
3219,3433
3217,3433
3215,3434
3213,3434
3211,3434
3209,3433
3207,3431
3208,3429
3206,3429
3204,3429
3202,3429
3200,3429
3198,3429
3196,3429
3196,3431
3196,3433
3195,3435
3195,3437
3195,3439
3197,3441
3199,3440
3201,3439
3203,3439
3205,3439
3207,3438
3209,3437
3211,3436
3212,3438
3212,3440
3212,3442
3212,3444
3212,3446
3212,3448
3210,3448
3209,3446
3207,3444
3207,3446
3206,3448
3206,3450
3205,3452
3207,3452
3209,3450
3210,3449
3212,3449
3214,3449
3216,3448
3216,3446
3217,3444
3219,3444
3221,3446
3222,3447
3222,3449
3220,3451
3219,3452
3217,3452
3215,3454
3213,3456
3213,3458
3213,3460
3212,3462
3210,3462
3208,3461
3207,3461
3206,3462
3206,3464
3207,3466
3209,3466
3211,3466
3213,3466
3215,3466
3217,3466
3219,3464
3221,3462
3219,3464
3217,3466
3216,3468
3214,3468
3213,3470
3212,3472
3211,3473
3209,3475
3207,3477
3206,3479
3206,3481
3206,3483
3206,3485
3206,3487
3206,3485
3206,3483
3206,3481
3206,3479
3207,3477
3208,3475
3210,3473
3212,3472
3212,3470
3212,3468
3212,3467
3212,3465
3212,3463
